# time	AI0	AI1
8.798199999999999932e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.798600000000000421e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.799099999999999966e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.799599999999999511e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.800100000000000477e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.800600000000000023e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.801099999999999568e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.801600000000000534e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.802200000000000557e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.802700000000000102e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.803100000000000591e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.803600000000000136e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.804099999999999682e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.804600000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.805100000000000193e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.805599999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.806100000000000705e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.806699999999999307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.807099999999999795e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.807599999999999341e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.808100000000000307e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.808599999999999852e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.809099999999999397e+01 5.571847507331377791e-01 5.474095796676441417e-01
8.809600000000000364e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.810099999999999909e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.810699999999999932e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.811199999999999477e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.811599999999999966e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.812099999999999511e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.812600000000000477e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.813100000000000023e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.813599999999999568e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.814100000000000534e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.814600000000000080e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.815200000000000102e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.815600000000000591e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.816100000000000136e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.816599999999999682e+01 5.669599217986314166e-01 5.522971652003909604e-01
